manufacturer,country,model,year,propulsion,0_60_mph_sec,0_100_kmh_sec,0_100_mph_sec,0_200_kmh_sec,quarter_mile_sec,top_speed_mph,top_speed_kmh,power_hp,power_kw,torque,engine,nurburgring_lap_sec,nurburgring_date,nurburgring_driver,top_gear_lap_sec,top_gear_episode,sources
Napier,GB,80,1908,,,,,,,,,90.0,67.0,,,,,,,,power_output
AC,GB,Cobra Mk III 427,1965,,,,,,,165.0,266.0,,,,"6,998 cc (427.0 cu in) V8 362 kW (492 PS; 485 hp)",,,,,,speed_records
Alfa Romeo,IT,147 GTA,,,,,,,,,,,,,,,,,95.6,"Series 02, Episode 08",top_gear
Alfa Romeo,IT,"156 GTA (2002, 250 PS)",,,,,,,,,,,,,,531.0,2002,Horst von Saurma,,,nurburgring
Alfa Romeo,IT,4C,,,,,,,,,,,,,,484.4,2013-09-12,Horst von Saurma,84.8,"Series 21, Episode 02","nurburgring, top_gear"
Alfa Romeo,IT,8C Competizione (very wet),,,,,,,,,,,,,,,,,98.2,"Series 11, Episode 04",top_gear
Alfa Romeo,IT,Brera 2.2,,,,,,,,,,,,,,,,,96.9,"Series 09, Episode 02",top_gear
Alfa Romeo,IT,Giulia Quadrifoglio (2015),,,,,,,,,,,,,,452.0,2016-09,Fabio Francia,81.4,"Series 24, Episode 02","nurburgring, top_gear"
Alfa Romeo,IT,Giulietta QV,,,,,,,,,,,,,,510.0,2011,,,,nurburgring
Alfa Romeo,IT,Giulietta Quadrifoglio Verde,,,,,,,,,,,,,,,,,90.3,"Series 24, Episode 02",top_gear
Alfa Romeo,IT,Stelvio Quadrifoglio (2018),,,,,,,,,,,,,,471.7,2017,Fabio Francia,,,nurburgring
Alpina,DE,Z8 Roadster,,,,,,,,,,,,,,,,,89.0,"Series 02, Episode 03",top_gear
Alpine,FR,A110,,,,,,,,,,,,,,,,,82.9,"Series 25, Episode 06",top_gear
Alpine,FR,"A110 (2019, 1.8 T, 252 PS)",,,,,,,,,,,,,,483.33,2019-05-15,Christian Gebhardt,,,nurburgring
Alpine,FR,"A110 S (2020, 1.8 T, 292 PS)",,,,,,,,,,,,,,476.1,2020,Christian Gebhardt,,,nurburgring
Alpine,FR,A110S,,,,,,,,,,,,,,,,,82.3,—N/a,top_gear
Alpine,FR,"A110S (2022, 1.8 T, 300 PS)",,,,,,,,,,,,,,462.659,2022-10,Christian Gebhardt,,,nurburgring
Aprilia,IT,RSV1000R Factory,,,,,,,,,,,,,,452.6,n/a,,,,nurburgring
Ariel,GB,Atom,,,,,,,,,,,,,,,,,84.0,"Series 02, Episode 06",top_gear
Ariel,GB,Atom 2 300,,,,,,,,,,,,,,,,,79.5,"Series 05, Episode 09",top_gear
Ariel,GB,Atom 4,,,,,,,,,,,,,,,,,76.0,—N/a,top_gear
Ariel,GB,Atom 4 (wet),,,,,,,,,,,,,,,,,85.3,"Series 28, Episode 01",top_gear
Ariel,GB,Atom 4R,,,,,,,,,,,,,,,,,73.7,Stig Laps,top_gear
Ariel,GB,Atom V8 500 (moist),,,,,,,,,,,,,,,,,75.1,"Series 16, Episode 01",top_gear
Ariel,GB,Nomad,,,,,,,,,,,,,,,,,90.8,"Series 23, Episode 01",top_gear
Artega,DE,GT,,,,,,,,,,,,,,494.0,2010,Horst von Saurma,,,nurburgring
Ascari,GB,A10,,,,,,,,,,,,,,,,,77.3,"Series 10, Episode 09",top_gear
Ascari,GB,KZ1 (damp),,,,,,,,,,,,,,,,,80.7,"Series 07, Episode 01",top_gear
Aspark,JP,Owl,2020,,,,,,,,,1953.0,1456.0,,,,,,,,power_output
Aston Martin,GB,DB11,,,,,,,,,,,,,,,,,81.5,"Series 24, Episode 03",top_gear
Aston Martin,GB,DB4 GT,1959,,,,,,,152.5,245.4,,,,"3,670 cc (224 cu in) inline-6 225 kW (306 PS; 302 hp)",,,,,,speed_records
Aston Martin,GB,DB4 GT Zagato,1960,,,,,,,153.5,247.0,,,,"3,670 cc (224 cu in) inline-6 234 kW (318 PS; 314 hp)",,,,,,speed_records
Aston Martin,GB,DB5,,,,,,,,,,,,,,,,,106.0,"Series 06, Episode 05",top_gear
Aston Martin,GB,DB7 GT,,,,,,,,,,,,,,503.0,2003,Horst von Saurma,,,nurburgring
Aston Martin,GB,DB7 GT (with full tank of fuel),,,,,,,,,,,,,,,,,90.4,"Series 02, Episode 04",top_gear
Aston Martin,GB,DB7 Vantage,,,,,,,,,,,,,,521.0,1999,Horst von Saurma,,,nurburgring
Aston Martin,GB,DB9,,,,,,,,,,,,,,,,,87.1,"Series 04, Episode 01",top_gear
Aston Martin,GB,"DB9 (2004, 456 PS)",,,,,,,,,,,,,,496.0,2004,Horst von Saurma,,,nurburgring
Aston Martin,GB,DBS,,,,,,,,,,,,,,482.0,2009,Horst von Saurma,,,nurburgring
Aston Martin,GB,DBS (wet),,,,,,,,,,,,,,,,,87.4,"Series 10, Episode 07",top_gear
Aston Martin,GB,DBS (written as Aston Martin DB9S),,,,,,,,,,,,,,,,,83.9,"Series 10, Episode 07",top_gear
Aston Martin,GB,V12 Vanquish,,,,,,,,,,,,,,497.0,2003,Horst von Saurma,,,nurburgring
Aston Martin,GB,V12 Vantage (Not Shown on TV),,,,,,,,,,,,,,,,,86.8,"Series 13, Episode 07",top_gear
Aston Martin,GB,V12 Vantage S,,,,,,,,,,,,,,472.0,2014,Horst von Saurma,,,nurburgring
Aston Martin,GB,V8 Vantage (2019),,,,,,,,,,,,,,463.92,2019-08-14,Christian Gebhardt,79.7,"Series 26, Episode 05","nurburgring, top_gear"
Aston Martin,GB,"V8 Vantage (Mk1, 2005, 385 PS)",,,,,,,,,,,,,,483.0,2005,Horst von Saurma,,,nurburgring
Aston Martin,GB,"V8 Vantage GT8 (2017, N/A 4.7, 446 PS)",,,,,,,,,,,,,,470.0,2017-02,Christian Gebhardt,,,nurburgring
Aston Martin,GB,Valhalla,2021,,,,,,,,,1064.0,793.0,,,,,,,,power_output
Aston Martin,GB,Valkyrie,2022,,,,,,,,,1140.0,850.0,,,,,,69.6,Stig Laps,"power_output, top_gear"
Aston Martin,GB,Vanquish (very wet),,,,,,,,,,,,,,,,,96.2,"Series 01, Episode 04",top_gear
Aston Martin,GB,Vanquish S,,,,,,,,,,,,,,,,,87.1,"Series 05, Episode 04",top_gear
Aston Martin,GB,Virage,,,,,,,,,,,,,,,,,84.4,"Series 17, Episode 02",top_gear
Audi,DE,Q7 V12 (wet),,,,,,,,,,,,,,,,,93.3,"Series 14, Episode 04",top_gear
Audi,DE,R8 (damp),,,,,,,,,,,,,,,,,84.4,"Series 10, Episode 02",top_gear
Audi,DE,"R8 4.2 FSI Quattro (Mk1, Type 42, 2007, N/A 4.2, 420 PS)",,,,,,,,,,,,,,484.0,2007,Horst von Saurma,,,nurburgring
Audi,DE,R8 4.2 FSI R-Tronic,,,,,,,,,,,,,,481.9,2008-10-27,Sascha Bert,,,nurburgring
Audi,DE,"R8 Coupé 5.2 FSI Quattro (Mk1, Type 42, 2009, 525 PS)",,,,,,,,,,,,,,464.0,2009,Horst von Saurma,,,nurburgring
Audi,DE,"R8 GT (Mk1, Typ 42, 2010)",,,,,,,,,,,,,,454.0,2010-12,Horst von Saurma,,,nurburgring
Audi,DE,R8 LMS Ultra,,,,,,,,,,,,,,477.474,2014-09-30,Marc Basseng/Frank Stippler,,,nurburgring
Audi,DE,"R8 Plus (Mk1, Type 42, 2013, N/A 5.2, 550 PS)",,,,,,,,,,,,,,465.0,2013,Horst von Saurma,,,nurburgring
Audi,DE,R8 V10 (damp),,,,,,,,,,,,,,,,,81.6,"Series 14, Episode 02",top_gear
Audi,DE,R8 V10 Plus,2017,ICE,2.6,2.8,,,10.51,,,,,,,,,,75.7,"Series 23, Episode 03","acceleration, top_gear"
Audi,DE,"R8 V10 Plus (4S, 2015)",,,,,,,,,,,,,,452.0,2015,Christian Gebhardt,,,nurburgring
Audi,DE,R8 V10 Spyder,,,,,,,,,,,,,,,,,82.3,"Series 15, Episode 04",top_gear
Audi,DE,RS 6 Avant,,,,,,,,,,,,,,,,,81.9,"Series 29, Episode 03",top_gear
Audi,DE,RS Q8,,,,,,,,,,,,,,462.253,2019-09-13,Frank Stippler,82.5,—N/a,"nurburgring, top_gear"
Audi,DE,RS e-tron GT performance,2024,Electric,2.19,2.19,,,,,,,,,,,,,,,acceleration
Audi,DE,"RS3 (Typ 8Y, 2021, 2.5 T, 400 PS)",,,,,,,,,,,,,,455.522,2021-06-14,Frank Stippler,,,nurburgring
Audi,DE,"RS3 (Typ 8Y, 2022, 2.5 T, 400 PS)",,,,,,,,,,,,,,457.66,2022,Christian Gebhardt,,,nurburgring
Audi,DE,"RS3 Sportback (8P, 2011, 2.5 T, 340 PS)",,,,,,,,,,,,,,500.0,2011,Horst von Saurma,,,nurburgring
Audi,DE,RS4,,,,,,,,,,,,,,,,,85.7,"Series 07, Episode 02",top_gear
Audi,DE,RS4 (B7),,,,,,,,,,,,,,489.0,2006,Horst von Saurma,,,nurburgring
Audi,DE,RS4 Avant (B5),,,,,,,,,,,,,,505.0,2000,Horst von Saurma,,,nurburgring
Audi,DE,RS4 Avant (B9),,,,,,,,,,,,,,478.52,2018-07-12,Christian Gebhardt,,,nurburgring
Audi,DE,RS4 Avant Competition Plus (B9),,,,,,,,,,,,,,459.35,2023-07-12,Christian Gebhardt,,,nurburgring
Audi,DE,RS5 (moist),,,,,,,,,,,,,,,,,87.5,"Series 16, Episode 05",top_gear
Audi,DE,RS5 Coupe (8T),,,,,,,,,,,,,,479.0,2012-06,Horst von Saurma,,,nurburgring
Audi,DE,RS6 (C5),,,,,,,,,,,,,,500.0,2002,Horst von Saurma,,,nurburgring
Audi,DE,RS6 (very wet),,,,,,,,,,,,,,,,,93.0,"Series 01, Episode 08",top_gear
Audi,DE,RS6 Avant (C7),,,,,,,,,,,,,,485.0,2014,Horst von Saurma,,,nurburgring
Audi,DE,"S1 (8X, 2014, 231 PS)",,,,,,,,,,,,,,521.0,2014,Horst von Saurma,,,nurburgring
Audi,DE,"S3 (8L, 1999, 210 PS)",,,,,,,,,,,,,,521.0,1999,Horst von Saurma,,,nurburgring
Audi,DE,S3 (very wet),,,,,,,,,,,,,,,,,93.1,—N/a,top_gear
Audi,DE,"S4 (B5, 1998, 265 PS)",,,,,,,,,,,,,,522.0,1998,Horst von Saurma,,,nurburgring
Audi,DE,S4 Avant (B6),,,,,,,,,,,,,,509.0,2003,Horst von Saurma,,,nurburgring
Audi,DE,S4 quattro 4.2,,,,,,,,,,,,,,,,,90.9,"Series 02, Episode 02",top_gear
Audi,DE,S5,,,,,,,,,,,,,,506.0,2008,Horst von Saurma,,,nurburgring
Audi,DE,"TT 1.8 T (Mk1, 8N, 1998)",,,,,,,,,,,,,,522.0,1998,Horst von Saurma,,,nurburgring
Audi,DE,TT 3.2 quattro,,,,,,,,,,,,,,,,,92.7,"Series 03, Episode 08",top_gear
Audi,DE,"TT Coupe (Mk2, 8J, 2007 2.0 TFSI, 200 PS)",,,,,,,,,,,,,,520.0,2007,Horst von Saurma,,,nurburgring
Audi,DE,TT Mk.II 2.0T,,,,,,,,,,,,,,,,,91.4,"Series 09, Episode 02",top_gear
Audi,DE,"TT RS (8S, 2017, 2.5 T, 400 PS)",,,,,,,,,,,,,,468.4,2017-05-17,Christian Gebhardt,,,nurburgring
Audi,DE,"TT RS (Mk2, 8J, 2010, 2.5 T, 340 PS)",,,,,,,,,,,,,,489.0,2010,Horst von Saurma,,,nurburgring
Audi,DE,TT RS (damp),,,,,,,,,,,,,,,,,84.9,—N/a,top_gear
Audi,DE,"TT S Coupe (Mk3, FV/8S, 2015, 2.0 T, 310 PS)",,,,,,,,,,,,,,496.0,2015,Christian Gebhardt,,,nurburgring
Audi,DE,"TTS Coupé (8J, 2008, 272 PS)",,,,,,,,,,,,,,509.0,2008,Horst von Saurma,,,nurburgring
Autodelta,IT,Alfa Romeo 147 GTA 3.7,,,,,,,,,,,,,,,,,90.0,"Series 04, Episode 02",top_gear
BAC,GB,Mono,,,,,,,,,,,,,,,,,74.3,"Series 20, Episode 02",top_gear
BMW,DE,1 Series M Coupe (damp),,,,,,,,,,,,,,,,,85.0,"Series 17, Episode 01",top_gear
BMW,DE,1 Series M Coupé (E82),,,,,,,,,,,,,,495.0,2011,Horst von Saurma,,,nurburgring
BMW,DE,130i (E87),,,,,,,,,,,,,,,,,91.9,"Series 07, Episode 06",top_gear
BMW,DE,318i (E46),,,,,,,,,,,,,,,,,103.2,"Series 01, Episode 04",top_gear
BMW,DE,320 Turbo,,,,,,,,,,,,,,465.44,1980-03-30,Hans-Joachim Stuck,,,nurburgring
BMW,DE,325i (E93) (wet),,,,,,,,,,,,,,,,,95.9,"Series 16, Episode 04",top_gear
BMW,DE,330i (self-driving car with Jeremy Clarkson as the passenger),,,,,,,,,,,,,,,,,88.9,"Series 10, Episode 08",top_gear
BMW,DE,335i Coupe (E92),,,,,,,,,,,,,,506.0,2006,Horst von Saurma,,,nurburgring
BMW,DE,535d (E60),,,,,,,,,,,,,,,,,91.8,"Series 06, Episode 10",top_gear
BMW,DE,645Ci,,,,,,,,,,,,,,,,,88.5,"Series 04, Episode 05",top_gear
BMW,DE,760Li (wet),,,,,,,,,,,,,,,,,91.2,"Series 14, Episode 01",top_gear
BMW,DE,"Alpina B10 3.2 (E39, 1998, 260 PS)",,,,,,,,,,,,,,530.0,1998,Horst von Saurma,,,nurburgring
BMW,DE,"Alpina B3 (E46, 1999, 280 PS)",,,,,,,,,,,,,,516.0,1999,Horst von Saurma,,,nurburgring
BMW,DE,"Alpina B3 (G20, 2021, 3.0 TT, 462 PS)",,,,,,,,,,,,,,473.26,2020-12-17,Christian Gebhardt,,,nurburgring
BMW,DE,"Alpina B3 Biturbo (F30, 2014, 3.0 BT, 410 PS)",,,,,,,,,,,,,,494.0,2014,Horst von Saurma,,,nurburgring
BMW,DE,"Alpina B3 Biturbo Coupé (E92, 2008, 3.0 BT, 360 PS)",,,,,,,,,,,,,,494.0,2008,Horst von Saurma,,,nurburgring
BMW,DE,"Alpina B3 Coupe GT3 (E92, 2012, 3.0 T, 408 PS)",,,,,,,,,,,,,,469.0,2012,Horst von Saurma,,,nurburgring
BMW,DE,"Alpina B4 Gran Coupè (G26, 2023, 3.0 TT, 495 PS)",,,,,,,,,,,,,,472.11,2023-01-12,Christian Gebhardt,,,nurburgring
BMW,DE,"Alpina B4 S Biturbo Coupe (F32, 2018, 3.0 BT, 440 PS)",,,,,,,,,,,,,,480.0,2017,Christian Gebhardt,,,nurburgring
BMW,DE,Alpina B6 S (E63),,,,,,,,,,,,,,490.0,2008,Horst von Saurma,,,nurburgring
BMW,DE,"Alpina Roadster S (E85, 2005, 300 PS)",,,,,,,,,,,,,,495.0,2005,Horst von Saurma,,,nurburgring
BMW,DE,F80 M3,,,,,,,,,,,,,,,,,81.6,"Series 24, Episode 02",top_gear
BMW,DE,M135i,,,,,,,,,,,,,,,,,85.1,"Series 21, Episode 05",top_gear
BMW,DE,"M135i (F20, 2012)",,,,,,,,,,,,,,498.0,2012,Horst von Saurma,,,nurburgring
BMW,DE,M2,,,,,,,,,,,,,,,,,82.7,"Series 23, Episode 05",top_gear
BMW,DE,M2 (F87),,,,,,,,,,,,,,478.0,2015-12,Jörg Weidinger,,,nurburgring
BMW,DE,"M2 (F87, 2016, 3.0 T, 370 PS)",,,,,,,,,,,,,,481.0,2016,Christian Gebhardt,,,nurburgring
BMW,DE,"M2 (G87, 2023, 3.0 TT, 460 PS)",,,,,,,,,,,,,,453.906,2023-08-30,Jörg Weidinger,,,nurburgring
BMW,DE,M2 CS,,,,,,,,,,,,,,440.89,2025-04-11,Jörg Weidinger,,,nurburgring
BMW,DE,"M2 CS (F87, 2020)",,,,,,,,,,,,,,462.99,2020-08-12,Christian Gebhardt,,,nurburgring
BMW,DE,M2 Competition (F87),,,,,,,,,,,,,,472.36,2018-09-12,Christian Gebhardt,,,nurburgring
BMW,DE,"M235i (F22, 2015, 3.0 T, 322 PS)",,,,,,,,,,,,,,496.0,2015,Christian Gebhardt,,,nurburgring
BMW,DE,"M240i xDrive (G42, 2022, 3.0 T, 374 PS)",,,,,,,,,,,,,,478.59,2022,Christian Gebhardt,,,nurburgring
BMW,DE,M3 (E30),,,,,,,,,,,,,,530.0,2010,Horst von Saurma,,,nurburgring
BMW,DE,M3 (E46),,,,,,,,,,,,,,502.0,2000,Horst von Saurma,,,nurburgring
BMW,DE,M3 (E90 Saloon),,,,,,,,,,,,,,,,,85.3,"Series 12, Episode 05",top_gear
BMW,DE,M3 (E92),,,,,,,,,,,,,,485.0,2007-12,Horst von Saurma,86.5,"Series 10, Episode 10","nurburgring, top_gear"
BMW,DE,"M3 CS (G80, 2023, 3.0 TT, 550 PS)",,,,,,,,,,,,,,443.975,2023-08-31,Jörg Weidinger,,,nurburgring
BMW,DE,M3 CSL (E46) (wet),,,,,,,,,,,,,,,,,88.0,"Series 03, Episode 02",top_gear
BMW,DE,M3 CSL (E46) by Loaded,,,,,,,,,,,,,,442.0,2007-11-11,Richard Göransson,,,nurburgring
BMW,DE,"M3 CSL (E46, 2004)",,,,,,,,,,,,,,470.0,2003,Horst von Saurma,,,nurburgring
BMW,DE,"M3 Competition Touring (G81, 2023, 3.0 TT, 510 PS)",,,,,,,,,,,,,,454.39,2023-10-19,Christian Gebhardt,,,nurburgring
BMW,DE,M3 Competition xDrive,2023,ICE,2.8,,,,11.0,,,,,,,,,,,,acceleration
BMW,DE,"M3 Coupe SMG (E36, facelift, 1997, 321 PS)",,,,,,,,,,,,,,515.0,1997,Horst von Saurma,,,nurburgring
BMW,DE,M3 E46,,,,,,,,,,,,,,,,,91.8,"Series 02, Episode 02",top_gear
BMW,DE,M3 E92 Competition Pack (moist),,,,,,,,,,,,,,,,,86.5,"Series 16, Episode 05",top_gear
BMW,DE,"M3 GTS (E92, 2010)",,,,,,,,,,,,,,468.0,2010,Horst von Saurma,,,nurburgring
BMW,DE,M3 Touring,,,,,,,,,,,,,,455.0,2022-05-12,Jörg Weidinger,,,nurburgring
BMW,DE,"M4 (F82, 2014, 431 PS)",,,,,,,,,,,,,,472.0,2014,Horst von Saurma,,,nurburgring
BMW,DE,"M4 CS (F82, 2017, 3.0 TT, 460 PS)",,,,,,,,,,,,,,462.0,2017,Christian Gebhardt,,,nurburgring
BMW,DE,"M4 CS (G82, 2024, 3.0 TT, 550 PS)",,,,,,,,,,,,,,437.215,2024-05-08,Jörg Weidinger,,,nurburgring
BMW,DE,"M4 CSL (G82, 2022)",,,,,,,,,,,,,,435.677,2022-04-12,Jörg Weidinger,,,nurburgring
BMW,DE,"M4 CSL (G82, 2023, 3.0 TT, 550 PS)",,,,,,,,,,,,,,433.497,2023-09-01,Jörg Weidinger,,,nurburgring
BMW,DE,"M4 Competition (G82, 2021, 3.0 TT, 510 PS)",,,,,,,,,,,,,,450.79,2021-04-15,Christian Gebhardt,,,nurburgring
BMW,DE,M4 Competition xDrive,2023,ICE,2.8,,,,11.0,,,,,,,,,,,,acceleration
BMW,DE,"M4 Competition xDrive (G82, 2022, 3.0 TT, 510 PS)",,,,,,,,,,,,,,448.57,2021-09-22,Christian Gebhardt,,,nurburgring
BMW,DE,"M4 GTS (F82, 2015)",,,,,,,,,,,,,,447.88,2015-09,Jörg Weidinger,,,nurburgring
BMW,DE,"M4 GTS (F82, 2016)",,,,,,,,,,,,,,457.0,2016-10,Christian Gebhardt,,,nurburgring
BMW,DE,M5 (E39),,,,,,,,,,,,,,508.0,1999,Horst von Saurma,,,nurburgring
BMW,DE,M5 (E60),,,,,,,,,,,,,,493.0,2004,Horst von Saurma,86.2,"Series 06, Episode 09","nurburgring, top_gear"
BMW,DE,M5 (F10),,,,,,,,,,,,,,485.0,2012,Horst von Saurma,,,nurburgring
BMW,DE,M5 (F10) (Very Wet),,,,,,,,,,,,,,,,,89.2,"Series 18, Episode 07",top_gear
BMW,DE,M5 (F90),,,,,,,,,,,,,,458.92,2018-04-12,Christian Gebhardt,79.8,"Series 26, Episode 02","nurburgring, top_gear"
BMW,DE,M5 (F90) by AC Schnitzer,,,,,,,,,,,,,,449.5,2018-08-22,Jörg Müller,,,nurburgring
BMW,DE,M5 (G90),,,,,,,,,,,,,,,,,79.8,,top_gear
BMW,DE,M5 CS,2020,ICE,2.6,2.9,,,10.6,,,,,,,,,,,,acceleration
BMW,DE,"M5 CS (F90, 2021)",,,,,,,,,,,,,,449.57,2021-06-02,Christian Gebhardt,,,nurburgring
BMW,DE,M5 Competition,2019,ICE,2.6,2.9,,,10.8,,,,,,,,,,,,acceleration
BMW,DE,"M5 Competition (F10, 2014, 575 PS)",,,,,,,,,,,,,,474.0,2014,Horst von Saurma,,,nurburgring
BMW,DE,"M5 Competition (F90, 2019, 625 PS)",,,,,,,,,,,,,,455.9,2019-04-17,Christian Gebhardt,,,nurburgring
BMW,DE,M5 E39,,,,,,,,,,,,,,,,,87.0,"Series 01, Episode 08",top_gear
BMW,DE,"M6 Cabrio (E64, 2007, 507 PS)",,,,,,,,,,,,,,496.52,2007-05,Wolfgang Kaufmann,,,nurburgring
BMW,DE,"M6 Coupe (E63, 2005, 507 PS)",,,,,,,,,,,,,,489.0,2005,Horst von Saurma,,,nurburgring
BMW,DE,"M6 Coupe (E63, 2006, 507 PS)",,,,,,,,,,,,,,487.76,2006-03,Prinz Leopold von Bayern,,,nurburgring
BMW,DE,M8 Competition,2019,ICE,2.5,3.0,,,10.7,,,,,,,,,,,,acceleration
BMW,DE,M8 Competition (very wet),,,,,,,,,,,,,,,,,86.2,"Series 28, Episode 06",top_gear
BMW,DE,M8 Competition Gran Coupe,2020,ICE,2.7,,,,,,,,,,,,,,,,acceleration
BMW,DE,"M8 Coupe Competition (F92, 2020, 625 PS)",,,,,,,,,,,,,,452.79,2020-06-09,Christian Gebhardt,,,nurburgring
BMW,DE,X5 (E53) LM,,,,,,,,,,,,,,470.0,2000,Hans-Joachim Stuck,,,nurburgring
BMW,DE,X5 M (E70) (wet),,,,,,,,,,,,,,,,,88.2,"Series 14, Episode 04",top_gear
BMW,DE,"X6 M (E71, 2009, 555 PS)",,,,,,,,,,,,,,504.0,2009,Horst von Saurma,,,nurburgring
BMW,DE,"Z3 Coupe 3.0 (E36/8, 2001, 231 PS)",,,,,,,,,,,,,,514.0,2001,Horst von Saurma,,,nurburgring
BMW,DE,"Z3 M Coupe (E36/8, 1998, 321 PS)",,,,,,,,,,,,,,502.0,1998,Horst von Saurma,,,nurburgring
BMW,DE,Z3 M Roadster (E36/7),,,,,,,,,,,,,,512.0,1997,Horst von Saurma,,,nurburgring
BMW,DE,Z4 3.0i (very wet) (E85),,,,,,,,,,,,,,,,,97.3,"Series 03, Episode 02",top_gear
BMW,DE,"Z4 Coupe 3.0si (E86, facelift, 2006, 265 PS)",,,,,,,,,,,,,,512.0,2006,Horst von Saurma,,,nurburgring
BMW,DE,Z4 GT3,,,,,,,,,,,,,,479.045,2014-08-02,Jens Klingmann,,,nurburgring
BMW,DE,Z4 M Coupe Prototype,,,,,,,,,,,,,,495.0,2006,,,,nurburgring
BMW,DE,Z4 M Roadster (E85),,,,,,,,,,,,,,,,,86.0,"Series 08, Episode 04",top_gear
BMW,DE,Z4 M Roadster Prototype,,,,,,,,,,,,,,498.0,2006,,,,nurburgring
BMW,DE,Z4 M40i (G29),,,,,,,,,,,,,,475.409,2018-09-12,Christian Gebhardt,,,nurburgring
BMW,DE,"Z4 Roadster 3.0i SMG (E85, pre-facelift, 2003, 231 PS)",,,,,,,,,,,,,,512.0,2003,Horst von Saurma,,,nurburgring
BMW,DE,Z4 sDrive35i (E89),,,,,,,,,,,,,,,,,88.2,"Series 13, Episode 06",top_gear
BMW,DE,"Z8 (E52, 2000, 400 PS)",,,,,,,,,,,,,,498.0,2000,Horst von Saurma,,,nurburgring
BMW,DE,i8 by AC Schnitzer,,,,,,,,,,,,,,499.8,2017,Markus Oestreich,,,nurburgring
Bentley,GB,Arnage T (wet),,,,,,,,,,,,,,,,,100.8,"Series 01, Episode 05",top_gear
Bentley,GB,"Continental GT (Mk1, 2006, 560 PS)",,,,,,,,,,,,,,520.3,2006-03,Tom Kristensen,,,nurburgring
Bentley,GB,Continental GT Supersports,,,,,,,,,,,,,,,,,84.9,"Series 15, Episode 01",top_gear
Bentley,GB,Meteor 'Spitfire engine in a car',,,,,,,,,,,,,,,,,110.3,"Series 18, Episode 06",top_gear
Bentley,GB,Mulsanne Speed (very wet),,,,,,,,,,,,,,,,,102.4,Extra Gear,top_gear
Benz,DE,82/200 HP (de),1912,,,,,,,,,197.0,147.0,,,,,,,,power_output
Benz,DE,Patent-Motorwagen,1886,,,,,,,,,7.0,6.0,,,,,,,,power_output
Benz,DE,Velo,1894,,,,,,,12.0,20.0,5.0,1.0,,"1,045 cc (63.8 cu in) single-cylinder 1.1 kW (1.5 PS; 1.5 bhp)",,,,,,"power_output, speed_records"
Bowler,GB,Wildcat,,,,,,,,,,,,,,,,,99.4,"Series 02, Episode 01",top_gear
Brabham,GB,BT26A-Ford,,,,,,,,,,,,,,462.1,1969-08-03,Jacky Ickx,,,nurburgring
Brabus,DE,S Biturbo Roadster,,,,,,,,,,,,,,,,,86.2,"Series 09, Episode 04",top_gear
Brutus,DE,,,,,,,,,,,,,,,,,,122.5,"Series 18, Episode 06",top_gear
Bugatti,FR,Chiron Sport,2017,ICE,2.4,,,,9.4,,,,,,,,,,,,acceleration
Bugatti,FR,Chiron Super Sport,2021,ICE,2.2,,,,9.1,,,,,,,,,,,,acceleration
Bugatti,FR,Chiron Super Sport 300+,2019,,,,,,,304.773,490.484,1578.0,1176.0,,"7,993 cc (487.8 cu in) quad-turbocharged W16 1,177 kW (1,600 PS; 1,578 hp)",,,,,,"power_output, speed_records"
Bugatti,FR,Chiron Super Sport 300+/Centodieci,2021,,,,,,,,,1578.0,1177.0,,,,,,,,power_output
Bugatti,FR,Chiron/Bugatti Divo,2016,,,,,,,,,1479.0,1103.0,,,,,,,,power_output
Bugatti,FR,EB110,1991,,,,,,,,,553.0,412.0,,,,,,,,power_output
Bugatti,FR,EB110 SS,,,,,,,,,,,,,,464.0,1993,Loris Bicocchi,,,nurburgring
Bugatti,FR,Type 41,1927,,,,,,,,,296.0,221.0,,,,,,,,power_output
Bugatti,FR,Veyron,2005,ICE,2.4,2.84,,,10.1,,,987.0,736.0,,,,,,,,"acceleration, power_output"
Bugatti,FR,Veyron 16.4,,,,,,,,,,,,,,460.0,2005,,78.3,"Series 12, Episode 04","nurburgring, top_gear"
Bugatti,FR,Veyron 16.4 Super Sport,2010,,,,,,,267.856,431.072,,,,"7,993 cc (487.8 cu in) quad-turbocharged W16 882 kW (1,200 PS; 1,183 hp)",,,,,,speed_records
Bugatti,FR,Veyron EB 16.4,2005,,,,,,,253.81,408.47,,,,"7,993 cc (487.8 cu in) quad-turbocharged W16 736 kW (1,001 PS; 987 hp)",,,,,,speed_records
Bugatti,FR,Veyron Super Sport,2010,ICE,9.9,2.7,,,9.9,,,,,,,,,,76.8,"Series 15, Episode 05","acceleration, top_gear"
Bugatti,FR,Veyron Super Sport/Grand Sport Vitesse,2010,,,,,,,,,1183.0,882.0,,,,,,,,power_output
C8,US,Corvette Z06 (2024),,,,,,,,,,,,,,430.52,2024-12-11,Christian Gebhardt,,,nurburgring
Cadillac,US,CTS-V (2009),,,,,,,,,,,,,,479.32,2008-05-09,John Heinricy,,,nurburgring
Cadillac,US,CTS-V First Generation (very wet),,,,,,,,,,,,,,,,,93.4,"Series 06, Episode 04",top_gear
Callaway,US,C12 Coupe,,,,,,,,,,,,,,505.0,1999,Horst von Saurma,,,nurburgring
Caterham,GB,7 160 (wet),,,,,,,,,,,,,,,,,105.5,"Series 21, Episode 04",top_gear
